Dates,States_UTs,source_sheet,Rice,Wheat,Atta_Wheat,Gram_Dal,Tur_Arhar_Dal,Urad_Dal,Moong_Dal,Masoor_Dal,Sugar,Milk,Groundnut_Oil_Packed,Mustard_Oil_Packed,Vanaspati_Packed,Soya_Oil_Packed,Sunflower_Oil_Packed,Palm_Oil_Packed,Gur,Tea_Loose,Salt_Pack_Iodised,Potato,Onion,Tomato,Year,Month,Quarter,Week,Month_Sin,Month_Cos,Potato_Lag1,Potato_Lag2,Potato_RollingMean3,Potato_WoW_Pct,Potato_Shock,Onion_Lag1,Onion_Lag2,Onion_RollingMean3,Onion_WoW_Pct,Onion_Shock,Tomato_Lag1,Tomato_Lag2,Tomato_RollingMean3,Tomato_WoW_Pct,Tomato_Shock,Any_Shock
2024-01-01,Maharashtra,2024 biweekly,49.53,39.95,43.42,82.53,165.95,127.63,123.68,96.11,43.47,59.05,186.0,156.33,125.89,108.68,121.32,97.81,53.63,296.74,23.89,27.32,33.21,31.37,2024,1,1,1,0.49999999999999994,0.8660254037844387,,,,,0,,,,,0,,,,,0,0
2024-01-15,Maharashtra,2024 biweekly,49.79,40.42,43.58,81.47,162.37,128.37,122.53,96.26,42.89,59.0,184.42,155.72,125.63,107.74,121.42,98.13,53.68,296.32,23.47,28.05,30.0,30.53,2024,1,1,3,0.49999999999999994,0.8660254037844387,27.32,,,2.6720351390922437,0,33.21,,,-9.665763324299913,0,31.37,,,-2.677717564552118,0,0
2024-01-29,Maharashtra,2024 biweekly,50.47,40.37,43.42,81.84,160.89,128.37,122.42,95.26,43.0,58.89,184.16,155.28,125.53,107.37,121.74,98.0,53.53,295.95,23.32,27.79,27.32,31.68,2024,1,1,5,0.49999999999999994,0.8660254037844387,28.05,27.32,27.72,-0.9269162210338688,0,30.0,33.21,30.176666666666666,-8.933333333333337,0,30.53,31.37,31.19333333333333,3.766786767114305,0,0
2024-02-12,Maharashtra,2024 biweekly,50.84,43.32,82.37,161.95,130.16,123.58,95.74,42.53,58.95,183.84,155.39,125.74,107.32,120.84,98.63,53.95,295.89,23.37,26.74,25.16,38.21,31.865,2024,2,1,7,0.8660254037844386,0.5000000000000001,27.79,28.05,27.0,-9.463835912198626,0,27.32,30.0,31.843333333333334,39.86090775988287,1,31.68,30.53,31.35833333333333,0.5839646464646409,0,1
2024-02-26,Maharashtra,2024 biweekly,51.32,39.68,43.0,83.16,162.53,131.32,124.05,95.95,42.42,59.21,183.84,155.22,125.84,106.84,119.16,98.13,54.0,295.37,23.37,27.79,26.16,32.05,2024,2,1,9,0.8660254037844386,0.5000000000000001,25.16,27.79,26.913333333333338,10.453100158982508,0,38.21,27.32,30.563333333333333,-31.53624705574457,0,31.865,31.68,31.865,0.5805742978189254,0,0
2024-03-12,Maharashtra,2024 biweekly,50.74,39.47,42.89,83.42,161.47,131.74,124.89,96.37,42.37,58.79,184.37,156.17,126.42,108.74,119.0,99.56,53.95,295.79,23.37,28.89,26.89,28.47,2024,3,1,11,1.0,6.123233995736766e-17,27.79,25.16,27.28,3.958258366318823,0,26.16,38.21,30.42,2.7905198776758455,0,32.05,31.865,30.794999999999998,-11.170046801872068,0,0
2024-03-26,Maharashtra,2024 biweekly,51.05,38.74,42.42,83.0,159.63,131.53,124.79,96.26,42.58,58.84,184.32,156.11,127.58,112.11,120.37,102.88,54.37,295.21,23.42,28.63,25.16,26.74,2024,3,1,13,1.0,6.123233995736766e-17,28.89,27.79,28.436666666666667,-0.8999653859466994,0,26.89,26.16,26.070000000000004,-6.4336184455187855,0,28.47,32.05,29.086666666666662,-6.076571829996491,0,0
2024-04-09,Maharashtra,2024 biweekly,51.79,38.47,42.16,82.63,162.37,132.58,125.95,97.16,42.53,58.84,184.68,155.78,127.47,111.68,121.37,103.5,54.05,294.53,23.37,33.05,25.89,25.47,2024,4,2,15,0.8660254037844387,-0.4999999999999998,28.63,28.89,30.189999999999998,15.438351379671666,0,25.16,26.89,25.98,2.901430842607322,0,26.74,28.47,26.89333333333333,-4.749439042632764,0,0
2024-04-23,Maharashtra,2024 biweekly,52.05,38.32,42.42,84.84,167.21,132.0,126.58,97.84,42.37,59.0,184.32,156.5,127.58,111.58,121.11,103.88,54.21,297.47,23.37,33.63,26.37,25.58,2024,4,2,17,0.8660254037844387,-0.4999999999999998,33.05,28.63,31.77,1.7549167927382925,0,25.89,25.16,25.80666666666667,1.8539976825028948,0,25.47,26.74,25.929999999999996,0.43188064389476644,0,0
2024-05-07,Maharashtra,2024 biweekly,51.58,38.74,42.32,86.47,168.74,132.74,127.47,97.42,42.68,59.05,184.11,157.11,127.53,110.58,119.95,103.56,54.42,297.37,23.32,35.95,27.53,27.47,2024,5,2,19,0.49999999999999994,-0.8660254037844387,33.63,33.05,34.21,6.8986024382991395,0,26.37,25.89,26.596666666666668,4.3989381873341005,0,25.58,25.47,26.173333333333332,7.388584831899925,0,0
